JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;RED DE DATOS WIRELESS LAN;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;INTERNET;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;INTERNET;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;SEGURIDAD;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;SEGURIDAD;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;COMUNICACIONES UNIFICADAS;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUN -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;COMUNICACIONES UNIFICADAS;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;CONECTIVIDAD;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;RED DE DATOS LAN;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;RED DE DATOS LAN;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;RED DE DATOS WIRELESS LAN;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;RED DE DATOS WIRELESS LAN;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;INTERNET;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;INTERNET;Oportunidad en la resolución de requerimientos;98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;SEGURIDAD;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
JUL -- 2020;COLOMBIA;ECOPETROL;PORCENTAJE;COMUNICACIONES UNIFICADAS;"Oportunidad en la resolución de incidentes prioridad alta (4 horas)";98.00;;>;1.00;;1
